CPT Code,Description
69633,Tympanoplasty with atticotomy and ossicular chain reconstruction using prosthesis
69635,Tympanoplasty with antrotomy
69636,Tympanoplasty with antrotomy and ossicular chain reconstruction
69637,Tympanoplasty with antrotomy and ossicular chain reconstruction
69641,Tympanoplasty with mastoidectomy
69642,Tympanoplasty with mastoidectomy and ossicular chain reconstruction
69643,Tympanoplasty with mastoidotomy and preservation of posterior canal wall
69644,"Tympanoplasty with mastoidotomy, preservation of posterior canal wall, and ossicular chain reconstruction"
69645,Complete tympanoplasty with mastoidotomy
69646,Complete tympanoplasty with mastoidotomy and ossicular chain reconstruction
69650,Stapes mobilization
69660,Stapedectomy with reestablishment of ossicular continuity
69661,Stapedectomy with reestablishment of ossicular continuity and drill-out of footplate
69662,Revision of stapedectomy
69666,Repair of oval window fistula
69667,Repair of round window fistula
69670,Mastoid obliteration
69676,Tympanic neurectomy
69700,Closure of postauricular mastoid fistula
69705,Surgical nasopharyngoscopy with unilateral balloon dilation of eustachian tube
69706,Surgical nasopharyngoscopy with bilateral balloon dilation of eustachian tube
69710,Implantation of electromagnetic bone conduction hearing device in temporal bone
69711,Removal of electromagnetic bone conduction hearing device from temporal bone
69714,Implantation of osseointegrated implant in temporal bone
69715,Implantation of osseointegrated implant in temporal bone with mastoidectomy
69716,Impltj oi implt skl tc esp
69717,Removal and replacement of osseointegrated implant in temporal bone
69718,Removal and replacement of osseointegrated implant in temporal bone with mastoidectomy
69719,Revj/rplcmt oi implt tc esp
69720,Decompression of intratemporal facial nerve
69725,Decompression of intratemporal facial nerve
69726,Rmvl oi implt skl perq esp
69727,Rmvl oi implt skl tc esp
69740,Suture of intratemporal facial nerve
69745,Suture of intratemporal facial nerve
69799,Procedure on middle ear
69801,Labyrinthotomy by transcanal approach with perfusion of vestibuloactive drug
69805,Endolymphatic sac operation
69806,Endolymphatic sac operation with shunt
69905,Labyrinthectomy by transcanal approach
69910,Labyrinthectomy with mastoidectomy
69915,Vestibular nerve section by translabyrinthine approach
69930,Cochlear device implantation
69949,Procedure on inner ear
69950,Vestibular nerve section by transcranial approach
69955,Complete facial nerve decompression
69960,Decompression of internal auditory canal
69970,Removal of tumor of temporal bone
69979,Procedure on temporal bone by middle fossa approach
69990,Microsurgical procedure using operating microscope
70010,Radiologic supervision and interpretation for myelography of posterior fossa
70015,Radiologic supervision and interpretation for cisternography
70030,X-ray for detection of foreign body of eye
70100,X-ray of mandible
7010F,Patient information entered into a recall system that includes: target date for the next exam specified and a process to follow up with patients regarding missed or unscheduled appointments (ML)
70110,X-ray of mandible
70120,X-ray of mastoids
70130,X-ray of mastoids
70134,X-ray of internal auditory meati
70140,X-ray of facial bones
70150,X-ray of facial bones
70160,X-ray of nasal bones
70170,Radiologic supervision and interpretation for dacryocystography of nasolacrimal duct
70190,X-ray of optic foramina
70200,X-ray of orbits
7020F,"Mammogram assessment category (eg, Mammography Quality Standards Act [MQSA], Breast Imaging Reporting and Data System [BI-RADS], or FDA approved equivalent categories) entered into an internal database to allow for analysis of abnormal interpretation (recall) rate (RAD)"
70210,X-ray of paranasal sinuses
70220,X-ray of paranasal sinuses
70240,X-ray of sella turcica
70250,X-ray of skull
7025F,Patient information entered into a reminder system with a target due date for the next mammogram (RAD)
70260,X-ray of skull
70300,X-ray of teeth
70310,X-ray of teeth
70320,X-ray of teeth
70328,Unilateral x-ray of temporomandibular joint
70330,Bilateral x-ray of temporomandibular joint
70332,Radiologic supervision and interpretation for arthrography of temporomandibular joint
70336,MRI of temporomandibular joint
70350,Orthodontic cephalogram
70355,Orthopantogram
70360,X-ray of soft tissue of neck
70370,X-ray of larynx with fluoroscopy
70371,Complex dynamic pharyngeal and speech evaluation by cine recording
70380,X-ray of salivary gland
70390,Radiologic supervision and interpretation for sialography
70450,CT of brain
70460,CT of brain with contrast
70470,"CT of brain without contrast, followed by contrast and further sections"
70480,CT of inner ear
70481,CT of inner ear with contrast
70482,"CT of inner ear without contrast, followed by contrast and further sections"
70486,CT of maxillofacial area
70487,CT of maxillofacial area with contrast
70488,"CT of maxillofacial area without contrast, followed by contrast and further sections"
70490,CT of soft tissue of neck
70491,CT of soft tissue of neck with contrast
70492,CT of soft tissue of neck
70496,CTA of head with contrast material and image postprocessing
70498,CTA of neck with contrast material and image postprocessing
70540,MRI of face
70542,MRI of face with contrast
70543,MRI of face
70544,MRA of head
70545,MRA of head with contrast
70546,MRA of head
70547,MRA of neck
70548,MRA of neck with contrast
70549,MRA of neck
70551,MRI of brain
70552,MRI of brain with contrast
70553,"MRI of brain including brain stem, without contrast, followed by contrast and further sections"
70554,Functional MRI of brain with test selection and administration of repetitive body part movement
70555,Functional MRI of brain with neurofunctional testing
70557,Intraoperative MRI of brain
70558,Intraoperative MRI of brain with contrast
70559,Intraoperative MRI of brain
71045,"X-ray of chest, single view"
71046,"X-ray of chest, 2 views"
71047,"X-ray of chest, 3 views"
71048,"X-ray of chest, minimum of 4 views"
71100,Unilateral x-ray of ribs
71101,Unilateral x-ray of ribs and posteroanterior chest
71110,Bilateral x-ray of ribs
71111,Bilateral x-ray of ribs and posteroanterior chest
71120,X-ray of sternum
71130,X-ray of sternoclavicular joint
71250,CT of thorax
71260,CT of thorax with contrast
71270,"CT of thorax without contrast, followed by contrast and further sections"
71271,"Low dose computed tomography of thorax for lung cancer screening, without contrast"
71275,CTA of chest with contrast material and image postprocessing
71550,MRI of chest
71551,MRI of chest with contrast
71552,MRI of chest
71555,MRA of chest
72020,X-ray of spine
72040,X-ray of cervical spine
72050,X-ray of cervical spine
72052,X-ray of cervical spine with oblique and extension studies
72070,X-ray of thoracic spine
72072,X-ray of thoracic spine
72074,X-ray of thoracic spine
72080,X-ray of thoracolumbar spine
72081,"X-ray of thoracolumbar spine with skull, cervical and sacral spine, single view"
72082,"X-ray of thoracolumbar spine with skull, cervical and sacral spine, 2 or 3 views"
72083,"X-ray of thoracolumbar spine with skull, cervical and sacral spine, 4 or 5 views"
72084,"X-ray of thoracolumbar spine with skull, cervical and sacral spine, minimum of 6 views"
72100,X-ray of lumbosacral spine
72110,X-ray of lumbosacral spine
72114,X-ray of lumbosacral spine with bending views
72120,"X-ray of lumbosacral spine, bending views"
72125,CT of cervical spine
72126,CT of cervical spine with contrast
72127,"CT of cervical spine without contrast, followed by contrast and further sections"
72128,CT of thoracic spine
72129,CT of thoracic spine with contrast
72130,"CT of thoracic spine without contrast, followed by contrast and further sections"
72131,CT of lumbar spine
72132,CT of lumbar spine with contrast
72133,"CT of lumbar spine without contrast, followed by contrast and further sections"
72141,MRI of cervical spinal canal and contents
72142,MRI of cervical spinal canal and contents with contrast
72146,MRI of thoracic spinal canal and contents
72147,MRI of thoracic spinal canal and contents with contrast
72148,MRI of lumbar spinal canal and contents
72149,MRI of lumbar spinal canal and contents with contrast
72156,"MRI of cervical spinal canal and contents without contrast, followed by contrast and further sections"
72157,"MRI of thoracic spinal canal and contents without contrast, followed by contrast and further sections"
72158,"MRI of lumbar spinal canal and contents without contrast, followed by contrast and further sections"
72159,MRA of spinal canal and contents
72170,X-ray of pelvis
72190,X-ray of pelvis
72191,CTA of pelvis with contrast material and image postprocessing
72192,CT of pelvis
72193,CT of pelvis with contrast
72194,CT of pelvis
72195,MRI of pelvis
72196,MRI of pelvis with contrast
72197,MRI of pelvis
72198,MRA of pelvis
72200,X-ray of sacroiliac joints
72202,X-ray of sacroiliac joints
72220,X-ray of sacrum and coccyx
72240,Radiologic supervision and interpretation for cervical myelography
